Status,Country,SportType,Location,sport_center,Address,Link
INACTIVE,Hong Kong,Badminton,南區,鴨脷洲體育館,香港鴨脷洲洪聖街8號，鴨脷洲市政大廈一樓,https://www.google.com/maps?q=22.244444
INACTIVE,Hong Kong,Badminton,南區,赤柱體育館,香港赤柱市場道6號赤柱市政大廈地面上層,https://www.google.com/maps?q=22.219167
INACTIVE,Hong Kong,Badminton,南區,黃竹坑體育館,香港黃竹坑道168號,https://www.google.com/maps?q=22.249722
INACTIVE,Hong Kong,Badminton,南區,漁光道體育館,香港香港仔漁光道43號,https://www.google.com/maps?q=22.250556
INACTIVE,Hong Kong,Badminton,灣仔區,港灣道體育館,香港灣仔港灣道27號港灣道體育館,https://www.google.com/maps?q=22.281389
INACTIVE,Hong Kong,Badminton,灣仔區,駱克道體育館,香港灣仔軒尼詩道225號駱克道市政大廈10樓<br>駱克道體育館<br>,https://www.google.com/maps?q=22.278056
INACTIVE,Hong Kong,Badminton,灣仔區,黃泥涌體育館,香港跑馬地毓秀街2號黃泥涌市政大廈4字樓<br>黃泥涌體育館,https://www.google.com/maps?q=22.268889
INACTIVE,Hong Kong,Badminton,油尖旺區,界限街一號體育館,九龍旺角洗衣街200號,https://www.google.com/maps?q=22.325556
INACTIVE,Hong Kong,Badminton,油尖旺區,界限街二號體育館,九龍旺角洗衣街200號,https://www.google.com/maps?q=22.326111
INACTIVE,Hong Kong,Badminton,油尖旺區,花園街體育館,九龍旺角花園街123A號花園街市政大廈十至十三樓,https://www.google.com/maps?q=22.320833
INACTIVE,Hong Kong,Badminton,油尖旺區,九龍公園體育館,九龍尖沙咀柯士甸道22號九龍公園體育館,https://www.google.com/maps?q=22.301944
INACTIVE,Hong Kong,Badminton,油尖旺區,官涌體育館,九龍佐敦寶靈街17號官涌市政大廈6樓,https://www.google.com/maps?q=22.304444
INACTIVE,Hong Kong,Badminton,油尖旺區,大角咀體育館,九龍大角咀褔全街63號大角咀市政大廈6樓,https://www.google.com/maps?q=22.321944
ACTIVE,Hong Kong,Badminton,深水埗區,長沙灣體育館,九龍長沙灣道及興華街交界,https://www.google.com/maps?q=22.338056
INACTIVE,Hong Kong,Badminton,深水埗區,歌和老街壁球及乒乓球中心,九龍塘歌和老街17號,https://www.google.com/maps?q=22.339167
ACTIVE,Hong Kong,Badminton,深水埗區,荔枝角公園體育館,九龍荔枝角荔灣道1號,https://www.google.com/maps?q=22.340833
INACTIVE,Hong Kong,Badminton,深水埗區,北河街體育館,深水埗基隆街333 號北河街市政大廈6樓,https://www.google.com/maps?q=22.329167
INACTIVE,Hong Kong,Badminton,深水埗區,保安道體育館,深水埗保安道325-329號保安道市政大廈2樓,https://www.google.com/maps?q=22.338611
ACTIVE,Hong Kong,Badminton,深水埗區,石硤尾公園體育館,深水埗南昌街290 號,https://www.google.com/maps?q=22.337222
INACTIVE,Hong Kong,Badminton,深水埗區,通州街公園壁球中心,深水埗通洲街163 號,https://www.google.com/maps?q=22.326667
ACTIVE,Hong Kong,Badminton,深水埗區,深水埗體育館,深水埗深旺道38號深水埗康樂文化大樓2樓,https://www.google.com/maps?q=22.551111
ACTIVE,Hong Kong,Badminton,黃大仙區,彩虹道羽毛球中心,黃大仙彩虹道150號,https://www.google.com/maps?q=22.337500
INACTIVE,Hong Kong,Badminton,黃大仙區,彩虹道體育館,黃大仙彩虹道150號,https://www.google.com/maps?q=22.337222
ACTIVE,Hong Kong,Badminton,黃大仙區,竹園體育館,九龍竹園道10號竹園體育館,https://www.google.com/maps?q=22.345556
INACTIVE,Hong Kong,Badminton,黃大仙區,東啟德體育館,九龍新蒲崗六合街30號,https://www.google.com/maps?q=22.335833
ACTIVE,Hong Kong,Badminton,黃大仙區,摩士公園體育館,九龍黃大仙鳳舞街40號,https://www.google.com/maps?q=22.338333
INACTIVE,Hong Kong,Badminton,黃大仙區,牛池灣體育館,九龍清水灣道11號牛池灣市政大廈1樓,https://www.google.com/maps?q=22.334444
INACTIVE,Hong Kong,Badminton,黃大仙區,蒲崗村道體育館,九龍黃大仙慈雲山蒲崗村道120號,https://www.google.com/maps?q=22.345556
