Status,Country,SportType,Location,sport_center,Address,Link
INACTIVE, Hong Kong,Badminton,灣仔區,港灣道體育館,香港灣仔港灣道27號港灣道體育館,https://www.google.com/maps?q=22.281389,114.176389
INACTIVE, Hong Kong,Badminton,灣仔區,駱克道體育館,香港灣仔軒尼詩道225號駱克道市政大廈10樓<br>駱克道體育館<br>,https://www.google.com/maps?q=22.278056,114.175556
INACTIVE, Hong Kong,Badminton,灣仔區,黃泥涌體育館,香港跑馬地毓秀街2號黃泥涌市政大廈4字樓<br>黃泥涌體育館,https://www.google.com/maps?q=22.268889,114.185833
INACTIVE, Hong Kong,Badminton,油尖旺區,界限街一號體育館,九龍旺角洗衣街200號,https://www.google.com/maps?q=22.325556,114.170833
INACTIVE, Hong Kong,Badminton,油尖旺區,界限街二號體育館,九龍旺角洗衣街200號,https://www.google.com/maps?q=22.326111,114.170556
INACTIVE, Hong Kong,Badminton,油尖旺區,花園街體育館,九龍旺角花園街123A號花園街市政大廈十至十三樓,https://www.google.com/maps?q=22.320833,114.170833
INACTIVE, Hong Kong,Badminton,油尖旺區,九龍公園體育館,九龍尖沙咀柯士甸道22號九龍公園體育館,https://www.google.com/maps?q=22.301944,114.170000
INACTIVE, Hong Kong,Badminton,油尖旺區,官涌體育館,九龍佐敦寶靈街17號官涌市政大廈6樓,https://www.google.com/maps?q=22.304444,114.168333
INACTIVE, Hong Kong,Badminton,油尖旺區,大角咀體育館,九龍大角咀褔全街63號大角咀市政大廈6樓,https://www.google.com/maps?q=22.321944,114.162778
INACTIVE, Hong Kong,Badminton,深水埗區,長沙灣體育館,九龍長沙灣道及興華街交界,https://www.google.com/maps?q=22.338056,114.153333
INACTIVE, Hong Kong,Badminton,深水埗區,歌和老街壁球及乒乓球中心,九龍塘歌和老街17號,https://www.google.com/maps?q=22.339167,114.172778
INACTIVE, Hong Kong,Badminton,深水埗區,荔枝角公園體育館,九龍荔枝角荔灣道1號,https://www.google.com/maps?q=22.340833,114.138333
INACTIVE, Hong Kong,Badminton,深水埗區,北河街體育館,深水埗基隆街333 號北河街市政大廈6樓,https://www.google.com/maps?q=22.329167,114.161111
INACTIVE, Hong Kong,Badminton,深水埗區,保安道體育館,深水埗保安道325-329號保安道市政大廈2樓,https://www.google.com/maps?q=22.338611,114.157500
INACTIVE, Hong Kong,Badminton,深水埗區,石硤尾公園體育館,深水埗南昌街290 號,https://www.google.com/maps?q=22.337222,114.170000
INACTIVE, Hong Kong,Badminton,深水埗區,通州街公園壁球中心,深水埗通洲街163 號,https://www.google.com/maps?q=22.326667,114.158889
